AGIL CODE,Community Name,Latitude,Longitude,State,LGA,ABS Remoteness
16MI,16 Mile Camp,-23.45764,133.83248,NT,MacDonnell,Remote Australia
GILN,Alkupitja,-23.06533,133.69436,NT,MacDonnell,Remote Australia
ANGU,Angurugu,-13.9822,136.4606,NT,East Arnhem,Very Remote Australia
HARY,Artekerre,-23.257387,133.766604,NT,MacDonnell,Remote Australia
BLAK,Black Tank Bore,-23.32352,134.02049,NT,MacDonnell,Remote Australia
BURT,Burt Creek,-23.19652,133.74759,NT,MacDonnell,Remote Australia
CRKW,Corkwood Bore,-23.31225,133.86792,NT,MacDonnell,Remote Australia
KUNB,Gunbalanya,-12.324,133.056,NT,West Arnhem,Remote Australia
HERM,Hermannsburg,-23.9427,132.7787,NT,MacDonnell,Very Remote Australia
IRRR,Irrerlirre,-22.8462,135.1345,NT,Central Desert,Very Remote Australia
,Kalkarindji ,-17.44670592,130.8314152,,,Very Remote Australia
KINT,Kintore,-23.27591,129.38725,NT,MacDonnell,Very Remote Australia
MBUN,Mbunghara,-23.29071,132.35891,NT,MacDonnell,Very Remote Australia
MILG,Milingimbi,-12.1036,134.9201,NT,East Arnhem,Very Remote Australia
NGUK,Ngukurr,-14.7317,134.7321,NT,Roper Gulf,Very Remote Australia
BONY,Orrtipa Thurra,-22.784582,136.16829,NT,Central Desert,Very Remote Australia
PAPU,Papunya,-23.203056,131.9111,NT,MacDonnell,Very Remote Australia
SANT,Santa Teresa,-24.1307,134.3733,NT,MacDonnell,Remote Australia
SNAK,Snake Well,-23.159459,133.915292,NT,MacDonnell,Remote Australia
UNDO,Undoolya Bore,-23.74762,134.11762,NT,MacDonnell,Remote Australia
WADE,Wadeye,-14.2404,129.5205,NT,West Daly,Remote Australia
WALB,Walkabout Bore,-24.38261,133.81687,NT,MacDonnell,Remote Australia
NGUI,Wurrumiyanga,-11.758306,130.63747,NT,Tiwi Islands,Remote Australia
YUEN,Yuendumu,-22.25389,131.79529,NT,Central Desert,Very Remote Australia
